X,Y,Z,id,PathID,Date,Time,HeartBeat
-4800.040576,6682395.263,2,1,1,11/04/2018,10:00:00,42
-4683.693264,6682481.259,2,2,1,12/04/2018,10:01:00,33
-4638.166054,6682511.611,2,3,1,13/04/2018,10:02:00,3
-4585.050977,6682545.756,2,4,1,14/04/2018,10:03:00,99
-4544.582347,6682576.107,2,5,1,15/04/2018,10:04:00,8
-4509.172295,6682598.871,2,6,1,16/04/2018,10:05:00,7
-4466.174375,6682635.546,2,7,1,17/04/2018,10:06:00,84
-4415.588587,6682679.808,2,8,1,18/04/2018,10:07:00,40
-4370.061378,6682712.689,2,9,1,19/04/2018,10:08:00,55
-4314.417011,6682751.893,2,10,1,20/04/2018,10:09:00,67
-4270.154446,6682788.568,2,11,1,21/04/2018,10:10:00,6
-4237.273684,6682812.596,2,12,1,22/04/2018,10:11:00,30
-4179.100028,6682865.711,2,13,1,23/04/2018,10:12:00,51
-4115.953066,6682904.005,2,14,1,24/04/2018,10:13:00,78
-4057.001834,6682936.16,2,15,1,25/04/2018,10:14:00,26
-3955.176978,6683021.907,2,16,1,26/04/2018,10:15:00,47
-3898.905348,6683056.742,2,17,1,27/04/2018,10:16:00,73
-3853.352123,6683102.295,2,18,1,28/04/2018,10:17:00,64
-3781.002884,6683142.489,2,19,1,29/04/2018,10:18:00,18
-3716.692449,6683196.081,2,20,1,30/04/2018,10:19:00,12
-3665.780021,6683238.955,2,21,1,01/05/2018,10:20:00,2
-3617.547195,6683273.79,2,22,1,02/05/2018,10:21:00,86
-3550.557158,6683311.304,2,23,1,03/05/2018,10:22:00,0
-3510.363136,6683351.498,2,24,1,04/05/2018,10:23:00,75
-3456.771107,6683389.013,2,25,1,05/05/2018,10:24:00,7
-3392.460672,6683434.566,2,26,1,06/05/2018,10:25:00,96
-3338.868643,6683488.158,2,27,1,07/05/2018,10:26:00,4
-3279.917411,6683531.031,2,28,1,08/05/2018,10:27:00,25
-3220.966179,6683584.623,2,29,1,09/05/2018,10:28:00,13
-3194.170164,6683600.701,2,30,1,10/05/2018,10:29:00,25
-3170.053751,6683619.458,2,31,1,11/05/2018,10:30:00,26
-3153.976142,6683630.177,2,32,1,12/05/2018,10:31:00,4
-3121.820925,6683656.973,2,33,1,13/05/2018,10:32:00,41
-3068.228896,6683686.448,2,34,1,14/05/2018,10:33:00,68
-3017.316468,6683713.244,2,35,1,15/05/2018,10:34:00,11
-2959.705036,6683757.458,2,36,1,16/05/2018,10:35:00,13
-2847.161775,6683843.205,2,37,1,17/05/2018,10:36:00,16
-2777.492137,6683886.079,2,38,1,18/05/2018,10:37:00,57
-2702.463296,6683955.748,2,39,1,19/05/2018,10:38:00,39
-2632.793658,6684014.7,2,40,1,20/05/2018,10:39:00,61
-2589.920035,6684052.214,2,41,1,21/05/2018,10:40:00,23
-2514.891194,6684095.088,2,42,1,22/05/2018,10:41:00,58
-2488.09518,6684121.884,2,43,1,23/05/2018,10:42:00,51
-2426.464346,6684167.437,2,44,1,24/05/2018,10:43:00,15
-2388.949926,6684196.912,2,45,1,25/05/2018,10:44:00,51
-2364.833513,6684167.437,2,46,1,26/05/2018,10:45:00,65
-2356.794708,6684124.563,2,47,1,27/05/2018,10:46:00,23
-2343.396701,6684081.69,2,48,1,28/05/2018,10:47:00,85
-2335.357897,6684025.418,2,49,1,29/05/2018,10:48:00,7
-2329.998694,6683982.544,2,50,1,30/05/2018,10:49:00,1
-2327.319092,6683934.311,2,51,1,31/05/2018,10:50:00,55
-2335.357897,6683845.885,2,52,1,01/06/2018,10:51:00,93
-2343.396701,6683781.574,2,53,1,02/06/2018,10:52:00,6
-2348.755904,6683741.38,2,54,1,03/06/2018,10:53:00,89
-2348.755904,6683695.827,2,55,1,04/06/2018,10:54:00,82
-2351.435505,6683647.594,2,56,1,05/06/2018,10:55:00,31
-2354.115107,6683612.759,2,57,1,06/06/2018,10:56:00,62
-2356.794708,6683580.604,2,58,1,07/06/2018,10:57:00,58
-2367.513114,6683532.371,2,59,1,08/06/2018,10:58:00,27
-2372.872317,6683473.42,2,60,1,09/06/2018,10:59:00,53
-2380.911121,6683425.187,2,61,1,10/06/2018,11:00:00,7
-2396.98873,6683374.275,2,62,1,11/06/2018,11:01:00,55
